,School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION,School ID
33,University of Southern California (USC),54800,99600,201000,788384,2470,180.74,3.42,16.45,192.66,824.87,54.97,3,36
34,University of New Haven,44400,82900,157000,475397,1489,181.74,2.76,18.83,193.73,875.16,63.1,4,37
35,University of Florida (UF),47100,87900,172000,316117,990.26,199.01,2.7,15.21,212.14,740.06,48.74,0,39
36,Dallas Baptist University,39400,60200,98100,364003,1140,174.87,2.59,13.93,186.4,759.56,52.65,0,40
37,Lewis & Clark College,38900,72600,140000,620783,1945,130.77,2.78,16.91,139.4,803.85,60.53,2,43
38,Portland State University (PSU),42600,70900,123000,620783,1945,130.77,2.78,16.91,139.4,803.85,60.53,2,44
39,Michigan State University (MSU),46300,85300,170000,580412,1818,168.83,2.59,13.53,179.97,737.05,47.82,1,45
40,"Indiana University (IU), Bloomington",46300,84000,178000,304319,953.3,159.11,2.63,14.1,169.61,661.24,53.37,1,46
41,Virginia Commonwealth University (VCU),42000,68400,123000,307789,964.17,178.22,2.4,12.97,189.98,809.86,52.09,0,47
42,"University of California, Davis",52300,99600,202000,889164,2785,149.72,3.2,17.13,159.6,778.34,56.15,3,48
43,Montana State University   Bozeman,46600,77500,151000,374066,1172,129.1,2.49,14.94,137.61,773.83,51.88,2,49
44,Jacksonville University,46700,66200,121000,309524,969.6,154.58,2.53,14.74,164.78,655.24,50.34,0,50
45,Arizona State University (ASU),47400,84100,163000,391407,1226,161.12,2.39,14.29,171.75,733.29,48.23,2,51
46,Massachusetts Institute of Technology (MIT),72200,126000,220000,1109025,3474,201.36,2.99,16.27,214.64,901.42,66.24,4,52
47,Harvard University,63400,124000,288000,1109025,3474,201.36,2.99,16.27,214.64,901.42,66.24,4,53
48,University of Texas at San Antonio (UTSA),42500,70700,121000,262332,821.77,147.04,2.31,12.14,156.74,681.51,48.74,0,54
49,Purdue University,51400,90500,168000,354160,1109,179.9,2.54,14.2,191.77,703.28,49.36,1,55
50,Texas Christian University (TCU),45100,78100,183000,327915,1027,168.67,2.74,13.61,179.79,732.55,57.54,0,56
51,Auburn University,45400,84700,145000,258515,809.81,173.53,2.34,14.99,184.98,640.23,52.09,0,57
52,University of Missouri   Kansas City (UMKC),38900,65800,124000,319587,1001,180.74,2.57,14.71,192.66,742.3,53.48,1,58
53,Davenport University,39700,46600,85700,281764,882.64,149.55,2.66,13.68,159.42,682.26,48.95,1,59
54,Western Washington University,42700,75400,119000,435485,1364,134.8,3.15,15.46,143.69,866.9,58.88,2,60
55,LeTourneau University,49500,73800,126000,299114,936.99,129.94,2.59,13.54,138.51,750.56,49.1,0,61
56,University of Missouri   St. Louis (UMSL),41400,67100,144000,252269,790.25,192.31,2.62,15.34,204.99,766.32,49.98,1,62
57,Marquette University,48500,88400,184000,325833,1021,179.73,2.49,14.37,191.59,851.13,48.74,1,64
